status	path	src_sha256	program_src_sha256	notes
different	patches/patch_move_into_c.pl	fcf6b08db192d466a94800f88fcbe7b994799458845551f8c5f693e485efcd62	8f52cce935431c25d813776dfda29ab4f9453dd6e94b52016b15a654478851bf	none
same	patches/patch_multiblock.pl	bbb973a7d7548d4a75001dc49fc85feb9979779058a90c235ea81ca2a4bcf32d	bbb973a7d7548d4a75001dc49fc85feb9979779058a90c235ea81ca2a4bcf32d	none
same	patches/patch_multitype_lands.pl	094b6cc9a2b6847bba7528933c32bdbf7d22cbcffb89311bdf17ac4330f20ca9	094b6cc9a2b6847bba7528933c32bdbf7d22cbcffb89311bdf17ac4330f20ca9	none
same	patches/patch_not_in_combat_window_if_no_longer_attacking.pl	8b83032ef801e0787eed69f9a0e39f4e4fbd6f607e57fe2da83374057b7c935d	8b83032ef801e0787eed69f9a0e39f4e4fbd6f607e57fe2da83374057b7c935d	none
missing-in-program	patches/patch_orphan_manalinkex.pl	97c8ef49cc222d35525881f62819aba9baef2a6be053eafcd8112aef9700d0f1		none
same	patches/patch_recalculate.pl	1185c8a589f75ddfbd73a3607984f531b9e5c1240aba7d3d6b62b1112c629761	1185c8a589f75ddfbd73a3607984f531b9e5c1240aba7d3d6b62b1112c629761	none
different	patches/patch_resolve_activation_during_charge_mana.pl	33d494a0ff2b67bfe74532fbf137197c4968a168840da17ad39ac16ccb51b92c	7cc2794ce30c316dff53cb243bf0cce84410a49dbc27873b71b138d53bcdb1b3	none
same	patches/patch_save_or_load_supplement.pl	04ba933e9e3e28979dcf884b0625547563a2c037bde1d45fc2ea846d78c2b73f	04ba933e9e3e28979dcf884b0625547563a2c037bde1d45fc2ea846d78c2b73f	none
same	patches/patch_shandalar_dll.pl	daf54bd212e3b4b8dc1a0e258b068bf935e37441f155eccf100338e5ba5d5a28	daf54bd212e3b4b8dc1a0e258b068bf935e37441f155eccf100338e5ba5d5a28	none
same	patches/patch_smallcard_size.pl	193fc3bf92621d444b32a14d15605d0d2996c41824c0aaf5251f844a857a1a36	193fc3bf92621d444b32a14d15605d0d2996c41824c0aaf5251f844a857a1a36	none
same	patches/patch_tap_enchantments.pl	aafde2859887d8deed602785f1c28ab4f42744d943f6c9f3160f0cf6a896f075	aafde2859887d8deed602785f1c28ab4f42744d943f6c9f3160f0cf6a896f075	none
different	patches/patch_tapped_to_play_ability.pl	cbcc4106079dd34a1c689b143d9f0ce47c72f4086f765c2abf3cb7b75d3b3ab0	e503f41ff15aa31f4314c68a3b36a7f0af9994be37c773480d706c1bec526134	none
same	patches/patch_targets.pl	058eb05aac4a6ea6a202041356e08f9d26a19bb932c5cfc0fbc355c336754db4	058eb05aac4a6ea6a202041356e08f9d26a19bb932c5cfc0fbc355c336754db4	none
same	patches/patch_undo_declared_attacker.pl	dc5cac4b3f492125b9023c07c34a0ea6b22156af45c1dc9a339df5ff5834b669	dc5cac4b3f492125b9023c07c34a0ea6b22156af45c1dc9a339df5ff5834b669	none
same	patches/patch_untap_phase.pl	84957ad0c5f3b383256bcfea2e54d5991999c42d4c29636b5573911bb7599e8e	84957ad0c5f3b383256bcfea2e54d5991999c42d4c29636b5573911bb7599e8e	none
same	patches/patch_wndproc_CardClass_hook.pl	091f86904c0c4532de25e0259754c620e6706cc72fff4cd8bc03932c24072a73	091f86904c0c4532de25e0259754c620e6706cc72fff4cd8bc03932c24072a73	none
same	patches/patch_x_cost_artifacts.pl	7bc2c56ae31f7e39e920a3a5a45521930c46091eb038ec0c2e997b02599d8886	7bc2c56ae31f7e39e920a3a5a45521930c46091eb038ec0c2e997b02599d8886	none
missing-in-program	stypes.h	8e29ce4426051d896785956fa844f26cfb6ffde1a0d5a509201bdbde8f481bd9		none
different	subtypes.h	e92cc07456ab63e841783113ee78e10a679151cf90ec0fa3f502b13889a30560	f1619a4b477dda1bf83d814d14fc00f082ca4faa9d80af3582e74137358b82b4	none
same	yasm.exe	0f21ebbc8ca131a870d33b31086b52e062cabc152007df4f3ac44888a1ff6ec1	0f21ebbc8ca131a870d33b31086b52e062cabc152007df4f3ac44888a1ff6ec1	none
