path	language	area	bytes	lines
src/cards/draft.c	C	source	31816	1168
src/cards/dragons_claw.asm	assembly	source	172	10
src/cards/dragons_maze.c	C	source	123602	3936
src/cards/dragons_of_tarkir.c	C	source	171443	5328
src/cards/eldritch_moon.c	C	source	106175	3158
src/cards/equipment.c	C	source	4634	131
src/cards/eventide.c	C	source	131234	4041
src/cards/exodus.c	C	source	86376	2863
src/cards/fallen_empires.c	C	source	95561	2932
src/cards/fate_reforged.c	C	source	150490	4677
src/cards/fifth_dawn.c	C	source	110828	3556
src/cards/future_sight.c	C	source	106554	3372
src/cards/gargaroz.c	C	source	9169	245
src/cards/gatecrash.c	C	source	179170	5696
src/cards/godless_shrine.asm	assembly	source	127	8
src/cards/green_creatures.c	C	source	5619	174
src/cards/green_enchantments.c	C	source	1379	41
src/cards/green_oneshot.c	C	source	9393	300
src/cards/guildpact.c	C	source	97274	3156
src/cards/hallowed_fountain.asm	assembly	source	133	8
src/cards/homelands.c	C	source	93433	2666
src/cards/ice_age.c	C	source	237479	7010
src/cards/innistrad.c	C	source	185019	6040
src/cards/invasion.c	C	source	123950	3977
src/cards/jatill.c	C	source	21108	693
src/cards/journey_into_nyx.c	C	source	143820	4578
src/cards/judgement.c	C	source	61929	2021
src/cards/khans_of_tarkir.c	C	source	176388	5747
src/cards/krakens_eye.asm	assembly	source	171	10
src/cards/lands.c	C	source	13254	364
src/cards/legends.c	C	source	244929	7690
src/cards/legions.c	C	source	48220	1575
src/cards/lorwyn.c	C	source	173547	5557
src/cards/m10.c	C	source	25882	841
src/cards/m11.c	C	source	77274	2533
src/cards/m12.c	C	source	64544	2207
src/cards/m13.c	C	source	64014	2031
src/cards/m14.c	C	source	86692	2577
src/cards/m15.c	C	source	141065	4615
src/cards/mercadian_masques.c	C	source	115275	3791
src/cards/mirage.c	C	source	155257	4920
src/cards/mirrodin.c	C	source	146032	4952
src/cards/mirrodin_besieged.c	C	source	86679	2941
src/cards/morningtide.c	C	source	85456	2771
src/cards/nemesis.c	C	source	72767	2346
src/cards/new_phyrexia.c	C	source	134411	4547
src/cards/oath_of_the_gatewatch.c	C	source	190682	5992
src/cards/obelisk_of_alara.asm	assembly	source	4976	216
src/cards/odissey.c	C	source	154611	5147
src/cards/onslaught.c	C	source	145531	4661
src/cards/origins.c	C	source	154851	4514
src/cards/overgrown_tomb.asm	assembly	source	127	8
src/cards/planar_chaos.c	C	source	107174	3410
src/cards/planechase.c	C	source	98467	3196
src/cards/planeshift.c	C	source	66488	2179
src/cards/planeswalker.c	C	source	12658	317
src/cards/portal_1_2_3k.c	C	source	64388	2309
src/cards/promo.c	C	source	35861	1106
src/cards/prophecy.c	C	source	42996	1484
src/cards/ravnica.c	C	source	175935	5843
src/cards/recoded_cards.c	C	source	88922	3032
src/cards/red_creatures.c	C	source	3988	130
src/cards/red_enchantments.c	C	source	516	14
src/cards/red_oneshot.c	C	source	6442	183
src/cards/return_to_ravnica.c	C	source	180078	5974
src/cards/rise_of_the_eldrazi.c	C	source	131689	4345
src/cards/sabertooth_nishoba.asm	assembly	source	230	11
src/cards/sacred_foundry.asm	assembly	source	127	8
src/cards/saviors_of_kamigawa.c	C	source	91186	2978
src/cards/scars_of_mirrodin.c	C	source	196236	6252
src/cards/scourge.c	C	source	69638	2313
src/cards/shadowmoor.c	C	source	184303	5933
src/cards/shadows_over_innistrad.c	C	source	244991	7482
src/cards/shards_of_alara.c	C	source	137362	4411
src/cards/steam_vents.asm	assembly	source	121	8
src/cards/stomping_ground.asm	assembly	source	129	8
src/cards/stronghold.c	C	source	80812	2695
src/cards/tempest.c	C	source	147553	4773
src/cards/the_dark.c	C	source	119280	3746
src/cards/theros.c	C	source	169396	5282
src/cards/time_spiral.c	C	source	199206	6335
src/cards/tokens.c	C	source	13842	481
src/cards/torment.c	C	source	71397	2396
src/cards/unglued_unhinged.c	C	source	17527	433
src/cards/unlimited.c	C	source	170805	5264
src/cards/urza_destiny.c	C	source	67624	2193
src/cards/urza_legacy.c	C	source	56289	1855
src/cards/urza_saga.c	C	source	149985	4861
src/cards/vanguard.c	C	source	57785	1936
src/cards/visions.c	C	source	101214	3230
src/cards/watery_grave.asm	assembly	source	123	8
src/cards/weatherlight.c	C	source	93551	3068
src/cards/white_creatures.c	C	source	3911	115
src/cards/white_enchantments.c	C	source	3351	104
src/cards/white_oneshot.c	C	source	5259	157
src/cards/worldwake.c	C	source	74381	2239
src/cards/wurms_tooth.asm	assembly	source	172	10
src/cards/zendikar.c	C	source	145551	4519
src/deck/deckdll.cpp	C++	source	239540	7789
src/deck/DeckDll.def	module definition	source	186	11
src/deck/deckdll.h	C/C++ header	source	1731	52
src/deck/deckdll.rc	resource	source	5225	154
src/deck/Drawcardlib.def	module definition	source	64	5
src/deck/File.cpp	C++	source	3585	164
src/deck/File.h	C/C++ header	source	1038	29
src/deck/image.def	module definition	source	39	4
src/deck/Makefile	make	source	628	32
src/deck/resources.h	C/C++ header	source	5114	146
src/defs.h	C/C++ header	source	150606	2975
src/deploy.bat	batch	source	2716	71
src/dmp.pl	Perl	source	2476	148
src/Drawcardlib.def	module definition	source	134	8
src/drawcardlib/Cardartlib.def	module definition	source	193	12
src/drawcardlib/config.c	C	source	61433	1714
src/drawcardlib/drawcardlib.c	C	source	67343	1777
src/drawcardlib/Drawcardlib.def	module definition	source	290	16
src/drawcardlib/drawcardlib.h	C/C++ header	source	25092	490
src/drawcardlib/drawcounters.c	C	source	9261	305
src/drawcardlib/drawfullcard.c	C	source	53455	1574
src/drawcardlib/drawmanatext.c	C	source	12290	542
src/drawcardlib/gdiplus.h	C/C++ header	source	6981	205
src/drawcardlib/get_displayed_card_instance.asm	assembly	source	478	19
src/drawcardlib/image.def	module definition	source	39	4
src/drawcardlib/Makefile	make	source	1772	55
src/Expansions.h	C/C++ header	source	5227	159
src/functions/abilities.c	C	source	39512	1220
src/functions/ability_effects.asm	assembly	source	304	20
src/functions/ability_icons.c	C	source	5315	139
src/functions/affect_me.c	C	source	161	9
src/functions/ai.c	C	source	21241	600
src/functions/auras.c	C	source	31543	821
src/functions/boost_creature_type.c	C	source	2720	89
src/functions/call_card_fn.asm	assembly	source	879	24
src/functions/challenge_mode.c	C	source	73507	2615
src/functions/count_graveyard.c	C	source	3804	171
src/functions/counters.c	C	source	70782	2091
src/functions/damage_effects.c	C	source	41167	999
src/functions/deadbox.c	C	source	9248	284
src/functions/deck.c	C	source	86336	2624
src/functions/dialog.c	C	source	21222	749
src/functions/display_error_message.asm	assembly	source	444	18
src/functions/engine.c	C	source	74203	2052
src/functions/equipments.c	C	source	16067	481
src/functions/events.c	C	source	43473	1105
src/functions/exiledby.c	C	source	19013	569
src/functions/functions.c	C	source	495381	15371
src/functions/gain_control_and_legend_rule.c	C	source	18509	537
src/functions/generic_life_artifact_charm.asm	assembly	source	1960	96
src/functions/generic_protection_from.asm	assembly	source	646	38
src/functions/get_card_instance.asm	assembly	source	415	31
src/functions/get_power.asm	assembly	source	381	31
src/functions/global_checking.c	C	source	34146	1192
src/functions/has_creature_type.c	C	source	52528	1570
src/functions/has_threshold.c	C	source	144	9
src/functions/helper_functions.c	C	source	438	22
src/functions/horsemanship.asm	assembly	source	517	30
src/functions/in_play.asm	assembly	source	804	49
src/functions/jatill.c	C	source	0	0
src/functions/manipulate_and_damage_all.c	C	source	10187	331
src/functions/multiblock.c	C	source	16991	506
src/functions/play_spell_for_free.c	C	source	27127	804
src/functions/produce_mana.c	C	source	61862	1475
src/functions/protection_from_black.asm	assembly	source	179	10
src/functions/protection_from_blue.asm	assembly	source	176	10
src/functions/protection_from_green.asm	assembly	source	179	10
src/functions/protection_from_red.asm	assembly	source	173	10
src/functions/protection_from_white.asm	assembly	source	179	10
src/functions/rules_engine.c	C	source	111395	3293
src/functions/sacrifices.c	C	source	26777	859
src/functions/show_backtrace.c	C	source	1031	44
src/functions/targets.c	C	source	71112	2074
src/functions/token_generation.c	C	source	18209	498
src/functions/tutors.c	C	source	48931	1561
src/functions/upkeep.c	C	source	10449	262
src/functions/utility.cpp	C++	source	1878	87
src/functions/windows.c	C	source	54036	1689
src/Magic-trace.c	C	source	335648	5275
src/Makefile	make	source	350	20
src/manalink.h	C/C++ header	source	196196	2139
src/ManalinkEh.asm	assembly	source	862453	22786
src/ManalinkEh.def	module definition	source	72	5
src/manalinkex/Makefile	make	source	1068	39
src/manalinkex/manalinkex.c	C	source	29	4
src/manalinkex/ManalinkEx.def	module definition	source	40	1
src/patches/Makefile	make	source	902	32
src/patches/Manalink/Patch.pm	Perl	source	3861	188
src/patches/patch.h	C/C++ header	source	1840	81
src/patches/patch_ai_opinion_defender.pl	Perl	source	1777	36
src/patches/patch_always_dispatch_events.pl	Perl	source	3349	64
src/patches/patch_always_set_tapped_for_mana_color.pl	Perl	source	956	22
src/patches/patch_attach_equipment.pl	Perl	source	4898	106
src/patches/patch_autotap_artifacts_and_creatures.pl	Perl	source	5408	102
src/patches/patch_change_ai_time.pl	Perl	source	5474	152
src/patches/patch_change_ai_time_540.c	C	source	2432	68
src/patches/patch_charge_mana.pl	Perl	source	10597	177
src/patches/patch_charge_mana_can_activate.c	C	source	2991	68
src/patches/patch_charge_mana_can_activate.pl	Perl	source	2906	59
src/patches/patch_choose_a_card_accelerator_for_gold.pl	Perl	source	944	38
src/patches/patch_copy_to_display.pl	Perl	source	1370	42
src/patches/patch_counters.pl	Perl	source	9093	176
src/patches/patch_create_card_instance.pl	Perl	source	1165	39
src/patches/patch_deckdll_dll.pl	Perl	source	348	16
src/patches/patch_disable_validate_loaded_game.pl	Perl	source	1060	28
src/patches/patch_dispatch_trigger.pl	Perl	source	1169	42
src/patches/patch_do_dialog_hook.pl	Perl	source	612	17
src/patches/patch_dont_draw_counters_on_planeswalkers.pl	Perl	source	3911	75
src/patches/patch_dont_increase_lands_played_when_put_on_bf.pl	Perl	source	674	19
src/patches/patch_dont_trigger_bounce_permanent_on_gy_to_hand.pl	Perl	source	1799	35
src/patches/patch_drawfullcard_drawsmallcard_color.c	C	source	7107	116
src/patches/patch_drawfullcard_drawsmallcard_color.pl	Perl	source	11290	197
src/patches/patch_duel_start.pl	Perl	source	2727	57
src/patches/patch_effect_card_pass_pc_to_drawcardlib.pl	Perl	source	2644	54
src/patches/patch_effect_card_text_replace_pipe_n.pl	Perl	source	6983	123
src/patches/patch_empty_mana_before_changing_phase.pl	Perl	source	1878	40
src/patches/patch_experience_counters.pl	Perl	source	3955	75
src/patches/patch_firebreathing.pl	Perl	source	999	39
src/patches/patch_fix_discard_trigger_prompt.pl	Perl	source	1136	48
src/patches/patch_hooks.pl	Perl	source	1842	30
src/patches/patch_icons.pl	Perl	source	9041	204
src/patches/patch_iid16384.pl	Perl	source	2357	65
src/patches/patch_inspired.pl	Perl	source	2501	50
src/patches/patch_legacy_name.c	C	source	10949	185
src/patches/patch_legend_rule.c	C	source	1147	36
src/patches/patch_make_manasource_interrupts_interruptible.pl	Perl	source	1854	58
src/patches/patch_move_into_c.pl	Perl	source	18202	639
src/patches/patch_multiblock.pl	Perl	source	1654	52
src/patches/patch_multitype_lands.pl	Perl	source	2240	66
src/patches/patch_not_in_combat_window_if_no_longer_attacking.pl	Perl	source	802	25
src/patches/patch_orphan_manalinkex.pl	Perl	source	10422	319
src/patches/patch_recalculate.pl	Perl	source	3012	58
src/patches/patch_resolve_activation_during_charge_mana.pl	Perl	source	1165	30
src/patches/patch_save_or_load_supplement.pl	Perl	source	1978	64
src/patches/patch_shandalar_dll.pl	Perl	source	2654	59
src/patches/patch_smallcard_size.pl	Perl	source	871	25
src/patches/patch_tap_enchantments.pl	Perl	source	1228	21
src/patches/patch_tapped_to_play_ability.pl	Perl	source	2896	53
src/patches/patch_targets.pl	Perl	source	1949	63
src/patches/patch_undo_declared_attacker.pl	Perl	source	2057	53
src/patches/patch_untap_phase.pl	Perl	source	4143	92
src/patches/patch_wndproc_CardClass_hook.pl	Perl	source	1240	23
src/patches/patch_x_cost_artifacts.pl	Perl	source	2220	36
src/stypes.h	C/C++ header	source	14866	342
src/subtypes.h	C/C++ header	source	30000	648
tools/audit_codebase.py	Python	tooling	27774	780
tools/check-build-prereqs.sh	shell	tooling	3680	146
tools/check-security-scanner-availability.sh	shell	tooling	4695	138
